City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
115,Karpathos,GR,80.56,few clouds,35.507,27.2132,Alex
118,Gat,IL,87.4,clear sky,31.61,34.7642,OlusHome
119,Hovd,MN,84.85,broken clouds,48.0056,91.6419,Hotel Khovd
121,Coruripe,BR,76.06,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
128,Mahebourg,MU,77.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
131,Ifakara,TZ,87.84,few clouds,-8.1333,36.6833,Tanzanian Training Centre for International Health
134,Morehead,US,74.79,clear sky,37.2711,-87.1764,CCI Express Inn
135,Bamnet Narong,TH,88.75,light rain,15.4992,101.6897,Jong Jaroen Resort
136,Vanimo,PG,79.99,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
137,Urumqi,CN,86.95,few clouds,43.801,87.6005,Hua Ling Grand Hotel Urumqi
143,Tecoanapa,MX,76.75,overcast clouds,16.5167,-98.75,Hotel Manglares
147,Xai-Xai,MZ,80.46,broken clouds,-25.0519,33.6442,Complexo da Familia
149,Hilo,US,74.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
153,Erice,IT,84.36,clear sky,38.037,12.5865,I Mulini Resort
154,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
155,Zhuhai,CN,83.98,heavy intensity rain,22.2769,113.5678,珠海粤财假日酒店
156,Marawi,PH,70.84,scattered clouds,7.9986,124.2928,Derogongan Residence
157,Danville,US,72.88,broken clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
158,San Andres,CO,77.25,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
163,Upata,VE,71.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
164,Taksimo,RU,70.79,overcast clouds,56.3444,114.8794,"Gostinitsa ""Domashniy Ochag"""
165,Kilindoni,TZ,79.66,clear sky,-7.9139,39.6668,Bustani B&B
168,The Valley,AI,82.09,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
171,Linxia,CN,75.51,scattered clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
175,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
