City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Fortuna,US,2022-06-12 12:25:38,40.5982,-124.1573,59.94,95,100,9.22
132,Grand-Lahou,CI,2022-06-12 12:25:38,5.1367,-5.0242,82.47,71,76,8.23
133,Lakota,CI,2022-06-12 12:25:39,5.8528,-5.6883,79.52,84,97,3.44
134,Yellowknife,CA,2022-06-12 12:25:39,62.456,-114.3525,55.92,76,40,16.11
135,Kodinsk,RU,2022-06-12 12:25:39,58.6881,99.1844,76.86,43,100,2.84
136,Georgetown,MY,2022-06-12 12:25:08,5.4112,100.3354,84.13,81,20,4.61
137,Motygino,RU,2022-06-12 12:25:40,58.1831,94.7592,68.49,88,70,2.84
138,Lagoa,PT,2022-06-12 12:25:40,39.05,-27.9833,61.38,71,2,20.07
139,Lompoc,US,2022-06-12 12:26:41,34.6391,-120.4579,57.78,96,100,3.44
140,Dali,CN,2022-06-12 12:26:41,25.7,100.1833,68.07,80,83,5.61
141,Kahului,US,2022-06-12 12:26:41,20.8947,-156.47,76.84,84,20,14.97
142,Saint-Georges,GD,2022-06-12 12:25:07,12.0564,-61.7485,80.28,83,20,25.32
143,Hovd,MN,2022-06-12 12:26:42,48.0056,91.6419,82.8,13,41,8.88
144,Tutoia,BR,2022-06-12 12:26:42,-2.7619,-42.2744,79.83,79,63,7.31
145,Maltahohe,NA,2022-06-12 12:26:42,-24.8333,16.9833,74.88,18,2,17.94
146,San Policarpo,PH,2022-06-12 12:26:43,12.1791,125.5072,82.6,77,95,9.64
147,Provideniya,RU,2022-06-12 12:26:44,64.3833,-173.3,35.58,71,90,2.93
148,Saint-Pierre,RE,2022-06-12 12:26:44,-21.3393,55.4781,76.68,65,20,27.63
149,Macklin,CA,2022-06-12 12:26:44,52.3334,-109.9348,52.14,85,63,5.35
150,Guapore,BR,2022-06-12 12:26:45,-28.8456,-51.8903,39.7,68,0,2.33
151,Pucallpa,PE,2022-06-12 12:26:45,-8.3791,-74.5539,62.62,85,59,3.18
