CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Feels like temp,Date
150,Baykit,RU,61.67,96.37,75.27,52,88,5.88,overcast clouds,74.95,2022-06-15 11:02:23
151,Nikolskoye,RU,59.7035,30.7861,61.79,81,76,8.16,broken clouds,59.72,2022-06-15 10:53:10
152,Cameron Park,US,38.6688,-120.9872,67.93,49,0,1.99,clear sky,58.03,2022-06-15 11:02:24
153,Erice,IT,38.037,12.5865,84.36,48,3,5.35,clear sky,85.17,2022-06-15 11:02:24
154,Atuona,PF,-9.8,-139.0333,77.95,70,34,22.95,scattered clouds,78.75,2022-06-15 11:02:24
155,Zhuhai,CN,22.2769,113.5678,83.98,78,40,5.75,heavy intensity rain,84.63,2022-06-15 11:02:25
156,Marawi,PH,7.9986,124.2928,70.84,90,44,1.54,scattered clouds,71.85,2022-06-15 11:02:25
157,Danville,US,36.586,-79.395,72.88,95,61,1.01,broken clouds,73.44,2022-06-15 11:01:59
158,San Andres,CO,12.5847,-81.7006,77.25,89,100,19.1,overcast clouds,78.85,2022-06-15 11:02:26
159,Norman Wells,CA,65.282,-126.8329,43.48,97,100,5.44,light rain,40.26,2022-06-15 11:02:26
160,Coquimbo,CL,-29.9533,-71.3436,51.19,83,21,1.19,few clouds,49.91,2022-06-15 11:02:26
161,Mackenzie,CA,55.2999,-123.1698,41.22,87,20,2.3,few clouds,41.22,2022-06-15 10:58:37
162,Geraldton,AU,-28.7667,114.6,63.01,82,100,5.75,overcast clouds,62.87,2022-06-15 10:54:32
163,Upata,VE,8.0086,-62.3989,71.19,95,53,0.89,broken clouds,72.46,2022-06-15 11:02:27
164,Taksimo,RU,56.3444,114.8794,70.79,47,97,3.36,overcast clouds,69.78,2022-06-15 11:02:27
165,Kilindoni,TZ,-7.9139,39.6668,79.66,67,3,9.93,clear sky,79.66,2022-06-15 11:02:27
166,Pevek,RU,69.7008,170.3133,31.78,80,1,1.77,clear sky,31.78,2022-06-15 11:02:28
167,Tocopilla,CL,-22.092,-70.1979,57.24,67,25,2.48,scattered clouds,55.81,2022-06-15 11:02:28
168,The Valley,AI,18.217,-63.0578,82.09,80,48,16.73,scattered clouds,85.21,2022-06-15 10:57:41
169,Ketchikan,US,55.3422,-131.6461,47.98,89,24,2.66,few clouds,47.98,2022-06-15 11:02:28
170,Port Macquarie,AU,-31.4333,152.9167,50.9,93,0,0.0,clear sky,46.29,2022-06-15 11:02:29
171,Linxia,CN,35.6003,103.2064,75.51,32,29,11.05,scattered clouds,74.26,2022-06-15 11:02:29
172,Markova,UA,48.6758,24.4138,63.25,50,77,5.3,broken clouds,61.63,2022-06-15 11:02:29
173,Tuktoyaktuk,CA,69.4541,-133.0374,34.59,79,43,8.97,scattered clouds,27.46,2022-06-15 10:53:11
174,Lompoc,US,34.6391,-120.4579,63.79,68,0,4.63,clear sky,48.06,2022-06-15 10:58:40
175,Georgetown,MY,5.4112,100.3354,85.95,83,20,5.99,few clouds,93.11,2022-06-15 10:58:08
176,Winnemucca,US,40.973,-117.7357,46.45,42,0,10.36,clear sky,41.5,2022-06-15 11:02:30
177,Grand-Lahou,CI,5.1367,-5.0242,80.31,77,100,12.15,light rain,84.45,2022-06-15 11:02:30
178,Aklavik,CA,68.2191,-135.0107,44.4,62,10,6.35,clear sky,40.8,2022-06-15 11:02:31
179,Ilulissat,GL,69.2167,-51.1,35.62,60,75,12.66,broken clouds,27.07,2022-06-15 11:02:31
180,Ullapool,GB,57.8987,-5.1604,60.35,79,100,8.52,overcast clouds,59.79,2022-06-15 11:02:31
181,Cap Malheureux,MU,-19.9842,57.6142,77.47,64,23,10.0,few clouds,77.92,2022-06-15 11:02:32
182,Bakchar,RU,57.0186,82.0711,65.68,63,87,11.86,light rain,64.9,2022-06-15 11:02:32
183,Nantucket,US,41.2835,-70.0995,64.51,89,0,18.88,clear sky,59.27,2022-06-15 11:00:58
184,Cabo San Lucas,MX,22.8909,-109.9124,77.61,55,5,10.29,clear sky,76.53,2022-06-15 11:00:00
185,Narsaq,GL,60.9167,-46.05,50.22,64,72,7.83,broken clouds,47.95,2022-06-15 11:02:32
186,Cidreira,BR,-30.1811,-50.2056,56.08,88,1,4.68,clear sky,55.53,2022-06-15 11:03:33
187,Tromso,NO,69.6496,18.957,50.02,76,75,12.66,broken clouds,48.29,2022-06-15 11:03:33
188,Sorland,NO,67.667,12.6934,49.86,81,100,2.51,overcast clouds,49.86,2022-06-15 11:03:33
189,Poya,NC,-21.35,165.15,73.26,88,3,5.39,clear sky,74.43,2022-06-15 11:03:34
190,Pangnirtung,CA,66.1451,-65.7125,36.95,90,100,1.19,overcast clouds,36.95,2022-06-15 11:03:34
191,Karratha,AU,-20.7377,116.8463,75.83,63,14,7.2,few clouds,76.08,2022-06-15 11:03:34
192,Cherskiy,RU,68.75,161.3,56.88,38,0,9.91,clear sky,54.05,2022-06-15 11:03:35
193,Teguise,ES,29.0605,-13.564,73.62,53,20,13.8,few clouds,73.17,2022-06-15 11:03:35
194,Padilla,CO,3.2204,-76.3139,67.57,88,68,3.24,broken clouds,68.16,2022-06-15 11:03:35
195,Esperance,AU,-33.8667,121.9,58.77,58,0,9.75,clear sky,57.07,2022-06-15 11:03:35
196,Coahuayana,MX,18.7333,-103.6833,78.85,85,96,2.1,overcast clouds,78.85,2022-06-15 11:03:36
197,Grandview,US,38.8858,-94.533,79.61,78,0,19.57,clear sky,78.42,2022-06-15 11:03:36
198,Ostrovnoy,RU,68.0531,39.5131,61.41,56,100,11.14,overcast clouds,59.88,2022-06-15 11:03:36
199,Maceio,BR,-9.6658,-35.7353,72.84,94,100,4.61,light rain,74.25,2022-06-15 11:03:37
200,Irmo,US,34.086,-81.1832,75.9,66,75,0.0,mist,73.13,2022-06-15 11:03:37
201,Lufilufi,WS,-13.8745,-171.5986,81.95,78,16,18.41,few clouds,88.18,2022-06-15 11:03:37
202,Olinda,BR,-8.0089,-34.8553,76.73,88,40,0.0,scattered clouds,78.24,2022-06-15 11:03:24
203,Torbay,CA,47.6666,-52.7314,48.27,72,100,7.0,overcast clouds,42.33,2022-06-15 11:03:38
204,Nabire,ID,-3.3667,135.4833,76.66,90,89,2.51,overcast clouds,78.26,2022-06-15 11:03:38
205,Atar,MR,20.5169,-13.0499,98.87,26,68,6.46,broken clouds,98.42,2022-06-15 11:03:38
206,Saravan,AM,39.7196,45.6483,71.42,40,46,6.31,scattered clouds,70.14,2022-06-15 11:03:39
207,Jacareacanga,BR,-6.2222,-57.7528,70.77,99,50,1.66,scattered clouds,72.19,2022-06-15 11:03:39
